,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7721088435374149,0.38095238095238093,0.6808510638297872,0.48854961832061067,0.7941252476526832
Random Forest,0.8503401360544217,0.5882352941176471,0.2127659574468085,0.3125,0.7766388147127228
XGBoost,0.8775510204081632,0.7619047619047619,0.3404255319148936,0.47058823529411764,0.7982599707123783
